name,price,img,rating,reviews_count,link,category,subcategory
POLKA DOT WALL DECALS 70 PIECES ( Available in all colors),299,https://pk-live-21.slatic.net/kf/S37bb5c9c546343d98430a6e692e6d103G.jpg,,,N/A,Furniture & decor,home-decoration
1 pc Natural and beautiful oval red agate 40mm size.  Available for all genders.,400,https://static-01.daraz.pk/p/17fa737dd62c751f903d1b073bd631d6.jpg,,,N/A,Furniture & decor,home-decoration
Customize your printed photos with in crystal frames available in all sizes 4x6 to 12x18,139,https://static-01.daraz.pk/p/8d0e751402732aaa0fbf6759cd06fb6f.jpg,5.0,3,N/A,Furniture & decor,home-decoration
Beautifull jaye namaz/prayer mats/all colours,1499,https://pk-live-21.slatic.net/kf/S0efc06279881438ab3cda533984e9572I.jpg,,,N/A,Furniture & decor,home-decoration
"Pack of 140 Stars Self Adhesive Wall Art Sticker
(all colors available)",119,https://pk-live-21.slatic.net/kf/S53b9be7985604c76aca711867e12a391g.jpg,1.0,1,N/A,Furniture & decor,home-decoration
Wooden framed tree branches | Hand made | Fine art for all themes.,5000,https://static-01.daraz.pk/p/622d3b05d94d85f3bd3d5c45f06b5b23.png,,,N/A,Furniture & decor,home-decoration
"Golden Acrylic Round 'Mashallah' Wall Decor in All Sizes, with Convenient Self-Adhesive Tape!",499,https://static-01.daraz.pk/p/b487a369c072ff9f265dc4900edb5292.jpg,,,N/A,Furniture & decor,home-decoration
pack of six colors - powder Candle Dye Colors - best candle dye - All in One - Candle Raw Material - black candle dye - red candle dye,890,https://static-01.daraz.pk/p/29f82997b31af48f439774d723649eee.jpg,1.0,1,N/A,Furniture & decor,home-decoration
Sofa cushion European-style four-season jacquard anti-slip about all-inclusive sofa cover full-cover fabric sofa scarf cushion manufacturers,3588,https://static-01.daraz.pk/p/9156f61c309682cc3446f58cc8e70c08.jpg,,,N/A,Furniture & decor,home-decoration
"Half n Half Acrylic Painting on canvas with Custom Embroiderd outline for Wall Decor  Availble in All Colors Sizes (Small, Medium, Large)",550,https://static-01.daraz.pk/p/2afd3ab4bb4865c6cef7ffe244912c1e.jpg,,,N/A,Furniture & decor,home-decoration
24pcs wall decor rings for all purpose,745,https://static-01.daraz.pk/p/a575a61d3281efd8814919468e15bd9a.jpg,1.0,1,N/A,Furniture & decor,home-decoration
"All-inclusive bedside cover, soft cover, simple modern, dust-proof, universal bedside cover, wooden bed backrest cover, 2022 world",3773,https://static-01.daraz.pk/p/3014dac71ff36f99ac3a58876246e8f2.jpg,,,N/A,Furniture & decor,home-decoration
1 Leather LU All-wrapped Foam Windproof Thermal Insulation Seal Moisture Proof Mosquito Proof Manual Self-adhesive Bedroom Door,1268,https://pk-live-21.slatic.net/kf/S864007c6a9094fe3836897d6015858fbP.jpg,,,N/A,Furniture & decor,home-decoration
"Simple all-inclusive bedside cover, cotton bedside cover, European dust cover, half pack, simple modern bedside protector",3573,https://static-01.daraz.pk/p/f7b4f818bb048966da3ed57647ccf7e6.jpg,,,N/A,Furniture & decor,home-decoration
BTS band all member name Wall Frame Decoration Wall bts accessories,299,https://static-01.daraz.pk/p/3c97ae84a68e853a0ef7489636d9dc05.jpg,,,N/A,Furniture & decor,home-decoration
BEAUTIFULL P.B.C PLASTIC DOOR WASHROOM. WASHROOM DOOR BEAUTY DESIN AND WAYER PROOF. MANFACER HAVEY PLASTIC. ALL SIZE AVELIBAL,9299,https://pk-live-21.slatic.net/kf/S751c575a3b1a4ac48803185007dbf40az.jpg,,,N/A,Furniture & decor,home-decoration
"Foam Brick Pattern 3D Wallpaper for Walls|Soft PE Foam| Easy to Peel, Stick & Remove DIY Wallpaper|Suitable on All Walls|Pack of 2 Sheets, 70 cm X 77 cm",799,https://pk-live-21.slatic.net/kf/S6887fa628e1143658bdb3263d7740856N.jpg,,,N/A,Furniture & decor,home-decoration
Original SOL DE JANEIRO Series Buttock Cream Moisturize Lip Balm Natural Deodorant for All Skin Types Moisturizing Body Care,3901,https://static-01.daraz.pk/p/994d2dc6ba4fec25814c5a7cc22f1c36.jpg,,,N/A,Furniture & decor,home-decoration
3×6 feet boombo chik for all purpuse,2100,https://pk-live-21.slatic.net/kf/S075db03c363d4a6e9b3060aaa459a0cct.jpg,,,N/A,Furniture & decor,home-decoration
Wooden Taj Mahal  all detail are hand carved,1299,https://static-01.daraz.pk/p/448eb82f4d4a89aaa89d1c6471134735.jpg,,,N/A,Furniture & decor,home-decoration
"4 pc Square Candles (L 2"" W 1.2"") All Colours Available",450,https://static-01.daraz.pk/p/b0166f1c31e7704e7c2b58da9b780ac8.jpg,,,N/A,Furniture & decor,home-decoration
Antique And Old Vintage Car For Decoration Caterham Super 7 A very Rare Old Car All Pictures  Are Original Imported Small Car,10000,https://pk-live-21.slatic.net/kf/S7f0f5f05ea164b53b45d0f084bb6621be.jpg,,,N/A,Furniture & decor,home-decoration
"Foil Curtains/Back Drop -Size 3.5 x 6.5 Feet Imported  Premium Quality Back Drop For Birthday Party Decorations, Available in All Colors",220,https://static-01.daraz.pk/p/45e5a73efe2ecb78daef8f0ed60f7c62.jpg,,,N/A,Furniture & decor,home-decoration
"Farmer Store Artificial Grass Carpet 10mm Thick, Artificial Grass Carpet for Room, Garden, Lawn, & for Balcony, All Sizes Available",3850,https://static-01.daraz.pk/p/680558257186312dfffc3c373b45a045.jpg,3.0,1,N/A,Furniture & decor,home-decoration
"Modern minimalist bubble wrap all inclusive cushion, lazy elastic anti slip sofa cover, universal",3513,https://static-01.daraz.pk/p/706101960955c6e3ef08e6ee369f9dd8.jpg,,,N/A,Furniture & decor,home-decoration
Handmade resin 13 inch wall clock in black and multi for all themes,10499,https://pk-live-21.slatic.net/kf/S19b2d603f01d44a48a6f39ba73d61a99m.jpg,,,N/A,Furniture & decor,home-decoration
"Long Kitchen Mat, Kitchen Floor Matt (All Prints in Picture Available)",2099,https://pk-live-21.slatic.net/kf/S92c1cf7beb374160b5371559f0747c76g.jpg,,,N/A,Furniture & decor,home-decoration
Seat Cushion Office Chair Cushion for All Day Sitting Back Sciatica Coccyx Tailbone Pain Relief Cushion Ergonomic Seat Cushion,4389,https://pk-live-21.slatic.net/kf/S5eea050583944eedbee1d1d181d5ac8dq.jpg,,,N/A,Furniture & decor,home-decoration
BuyMe07 Aesthetic Canvas Painting 6 X 6  Customized All sizes available Mini Canvas Painting Wall Decor Acrylic Painting Canvas For wall,1050,https://pk-live-21.slatic.net/kf/S7edf0b19bacc45caa6248599806a061a3.jpg,,,N/A,Furniture & decor,home-decoration
"Yellow flower garland(all colors available on order) Wall decoration Pom Pom wall hanger, living room, dining room, bedroom decor, wall, door window decor multicolor fine quality",449,https://static-01.daraz.pk/p/35d5f41e8a52cf6794cac4a1aa124266.jpg,,,N/A,Furniture & decor,home-decoration
"Set of 11 Heart shape 3D string curtain, door wall window decoration for birthdays, weddings, engagement, Christmas, Valentine, holiday, party, gifts, school, college, university Farewells, baby shower, bridal party shower all festivals, nikkah, baraat",1999,https://static-01.daraz.pk/p/fa7bdf9df8a133b9eb28a7e3ca50d7e4.jpg,,,N/A,Furniture & decor,home-decoration
"5 Heart shape 3D string curtain, door wall window decoration for birthdays, weddings, engagement, Christmas, Valentine, holiday, party, gifts, school, college, university Farewells decor, baby shower, bridal party shower all festivals, nikkah, baraat",749,https://static-01.daraz.pk/p/7173bf4d77b7d673d061c78f86667a91.jpg,,,N/A,Furniture & decor,home-decoration
"Sarcasmsm Universal Car Seat Cushion Front Seat Cover Simple Comfortable And Breathable, Versatile for all seasons",4375,https://static-01.daraz.pk/p/01653eb3a78ef934bb69560e0e3af544.jpg,,,N/A,Furniture & decor,home-decoration
"Pillar candle(pair) size 2.5""x3""(Available in All Colors)",550,https://static-01.daraz.pk/p/cf9928ce33a612025045d6f3bb6cacd8.jpg,4.0,1,N/A,Furniture & decor,home-decoration
12inch by 108 inch black woodenpeel and sticker paper and decorate self Adhesive film for furniture room door all home decor waterproof paper,850,https://pk-live-21.slatic.net/kf/S0677fa68db144ffc8bfa1579474a71f6r.jpg,,,N/A,Furniture & decor,home-decoration
"Pillar candle large (1 piece) size 3""x8"" (available in All color)",750,https://static-01.daraz.pk/p/86988c9f860fc76d22d892050e34def2.jpg,,,N/A,Furniture & decor,home-decoration
Customized Baby Keepsake with Picture and all details (size 10 inches) - Resin Art Land,1799,https://pk-live-21.slatic.net/kf/Sf7515eec52954e5a90058ad8c44934faN.jpg,,,N/A,Furniture & decor,home-decoration
"1pc, With God All Things Are Possible Religious Vinyl Wall Decals, Vinyl Wall Stickers Wall Decal Motivation Lettering Saying Wall Art, Inspirational Quote Wall Art Stickers",250,https://static-01.daraz.pk/p/505a98b1df427b314939bc8c7d614dd0.jpg,,,N/A,Furniture & decor,home-decoration
Bts All Members Name Wall Hang Frame,499,https://static-01.daraz.pk/p/bcfa1944fafacfb16392dd4c1550ece1.jpg,5.0,1,N/A,Furniture & decor,home-decoration
Nordic Flower Geometric Pattern Print All Inclusive Elastic Sofa Cover Dustproof Sofa Cover,4225,https://static-01.daraz.pk/p/8b53926445000b7c09bcee3019c600f5.jpg,,,N/A,Furniture & decor,home-decoration
Motivational Quotation frames look great in all homes & offices. Wall frames give your room a personalized feel. Very few home decor items have the capability to enhance the room's appearance as wall frames do. Motivational frames can improve the ambiance,3200,https://pk-live-21.slatic.net/kf/S7d4e1de95c114cda9422cb216551cbbdB.jpg,,,N/A,Furniture & decor,home-decoration
Bless This Home and All who Enter Wall Art Sticker for Bedroom Living Room wall stickers,259,https://pk-live-21.slatic.net/kf/S40a7b9a5e2a245cfb7a59e8196c38ad9I.jpg,,,N/A,Furniture & decor,home-decoration
customised morning glory scented candle - all colours are available,220,https://pk-live-21.slatic.net/kf/Sd76c48d619164c91a589612ddedd4e067.jpg,,,N/A,Furniture & decor,home-decoration
All the characters of bts Wall Frame Decoration Your Wall,299,https://static-01.daraz.pk/p/b6a8d7d2e45c9e2891b396228d7495bd.jpg,,,N/A,Furniture & decor,home-decoration
All in bt21 Poster bts accessories,80,https://static-01.daraz.pk/p/49e68e7f140992a068026d1cc5f32e2b.jpg,,,N/A,Furniture & decor,home-decoration
Wooden framed tree branches | Hand made | Fine art for all themes.,5000,https://static-01.daraz.pk/p/622d3b05d94d85f3bd3d5c45f06b5b23.png,,,N/A,Furniture & decor,home-decoration
"Golden Acrylic Round 'Mashallah' Wall Decor in All Sizes, with Convenient Self-Adhesive Tape!",499,https://static-01.daraz.pk/p/b487a369c072ff9f265dc4900edb5292.jpg,,,N/A,Furniture & decor,home-decoration
pack of six colors - powder Candle Dye Colors - best candle dye - All in One - Candle Raw Material - black candle dye - red candle dye,890,https://static-01.daraz.pk/p/29f82997b31af48f439774d723649eee.jpg,1.0,1,N/A,Furniture & decor,home-decoration
Sofa cushion European-style four-season jacquard anti-slip about all-inclusive sofa cover full-cover fabric sofa scarf cushion manufacturers,3588,https://static-01.daraz.pk/p/9156f61c309682cc3446f58cc8e70c08.jpg,,,N/A,Furniture & decor,home-decoration
"Half n Half Acrylic Painting on canvas with Custom Embroiderd outline for Wall Decor  Availble in All Colors Sizes (Small, Medium, Large)",550,https://static-01.daraz.pk/p/2afd3ab4bb4865c6cef7ffe244912c1e.jpg,,,N/A,Furniture & decor,home-decoration
24pcs wall decor rings for all purpose,745,https://static-01.daraz.pk/p/a575a61d3281efd8814919468e15bd9a.jpg,1.0,1,N/A,Furniture & decor,home-decoration
"All-inclusive bedside cover, soft cover, simple modern, dust-proof, universal bedside cover, wooden bed backrest cover, 2022 world",3773,https://static-01.daraz.pk/p/3014dac71ff36f99ac3a58876246e8f2.jpg,,,N/A,Furniture & decor,home-decoration
1 Leather LU All-wrapped Foam Windproof Thermal Insulation Seal Moisture Proof Mosquito Proof Manual Self-adhesive Bedroom Door,1268,https://pk-live-21.slatic.net/kf/S864007c6a9094fe3836897d6015858fbP.jpg,,,N/A,Furniture & decor,home-decoration
"Simple all-inclusive bedside cover, cotton bedside cover, European dust cover, half pack, simple modern bedside protector",3573,https://static-01.daraz.pk/p/f7b4f818bb048966da3ed57647ccf7e6.jpg,,,N/A,Furniture & decor,home-decoration
BTS band all member name Wall Frame Decoration Wall bts accessories,299,https://static-01.daraz.pk/p/3c97ae84a68e853a0ef7489636d9dc05.jpg,,,N/A,Furniture & decor,home-decoration
BEAUTIFULL P.B.C PLASTIC DOOR WASHROOM. WASHROOM DOOR BEAUTY DESIN AND WAYER PROOF. MANFACER HAVEY PLASTIC. ALL SIZE AVELIBAL,9299,https://pk-live-21.slatic.net/kf/S751c575a3b1a4ac48803185007dbf40az.jpg,,,N/A,Furniture & decor,home-decoration
"Foam Brick Pattern 3D Wallpaper for Walls|Soft PE Foam| Easy to Peel, Stick & Remove DIY Wallpaper|Suitable on All Walls|Pack of 2 Sheets, 70 cm X 77 cm",799,https://pk-live-21.slatic.net/kf/S6887fa628e1143658bdb3263d7740856N.jpg,,,N/A,Furniture & decor,home-decoration
Original SOL DE JANEIRO Series Buttock Cream Moisturize Lip Balm Natural Deodorant for All Skin Types Moisturizing Body Care,3901,https://static-01.daraz.pk/p/994d2dc6ba4fec25814c5a7cc22f1c36.jpg,,,N/A,Furniture & decor,home-decoration
3×6 feet boombo chik for all purpuse,2100,https://pk-live-21.slatic.net/kf/S075db03c363d4a6e9b3060aaa459a0cct.jpg,,,N/A,Furniture & decor,home-decoration
Wooden Taj Mahal  all detail are hand carved,1299,https://static-01.daraz.pk/p/448eb82f4d4a89aaa89d1c6471134735.jpg,,,N/A,Furniture & decor,home-decoration
"4 pc Square Candles (L 2"" W 1.2"") All Colours Available",450,https://static-01.daraz.pk/p/b0166f1c31e7704e7c2b58da9b780ac8.jpg,,,N/A,Furniture & decor,home-decoration
Antique And Old Vintage Car For Decoration Caterham Super 7 A very Rare Old Car All Pictures  Are Original Imported Small Car,10000,https://pk-live-21.slatic.net/kf/S7f0f5f05ea164b53b45d0f084bb6621be.jpg,,,N/A,Furniture & decor,home-decoration
"Foil Curtains/Back Drop -Size 3.5 x 6.5 Feet Imported  Premium Quality Back Drop For Birthday Party Decorations, Available in All Colors",220,https://static-01.daraz.pk/p/45e5a73efe2ecb78daef8f0ed60f7c62.jpg,,,N/A,Furniture & decor,home-decoration
"Farmer Store Artificial Grass Carpet 10mm Thick, Artificial Grass Carpet for Room, Garden, Lawn, & for Balcony, All Sizes Available",3850,https://static-01.daraz.pk/p/680558257186312dfffc3c373b45a045.jpg,3.0,1,N/A,Furniture & decor,home-decoration
"Modern minimalist bubble wrap all inclusive cushion, lazy elastic anti slip sofa cover, universal",3513,https://static-01.daraz.pk/p/706101960955c6e3ef08e6ee369f9dd8.jpg,,,N/A,Furniture & decor,home-decoration
Handmade resin 13 inch wall clock in black and multi for all themes,10499,https://pk-live-21.slatic.net/kf/S19b2d603f01d44a48a6f39ba73d61a99m.jpg,,,N/A,Furniture & decor,home-decoration
"Long Kitchen Mat, Kitchen Floor Matt (All Prints in Picture Available)",2099,https://pk-live-21.slatic.net/kf/S92c1cf7beb374160b5371559f0747c76g.jpg,,,N/A,Furniture & decor,home-decoration
Seat Cushion Office Chair Cushion for All Day Sitting Back Sciatica Coccyx Tailbone Pain Relief Cushion Ergonomic Seat Cushion,4389,https://pk-live-21.slatic.net/kf/S5eea050583944eedbee1d1d181d5ac8dq.jpg,,,N/A,Furniture & decor,home-decoration
BuyMe07 Aesthetic Canvas Painting 6 X 6  Customized All sizes available Mini Canvas Painting Wall Decor Acrylic Painting Canvas For wall,1050,https://pk-live-21.slatic.net/kf/S7edf0b19bacc45caa6248599806a061a3.jpg,,,N/A,Furniture & decor,home-decoration
"Yellow flower garland(all colors available on order) Wall decoration Pom Pom wall hanger, living room, dining room, bedroom decor, wall, door window decor multicolor fine quality",449,https://static-01.daraz.pk/p/35d5f41e8a52cf6794cac4a1aa124266.jpg,,,N/A,Furniture & decor,home-decoration
"Set of 11 Heart shape 3D string curtain, door wall window decoration for birthdays, weddings, engagement, Christmas, Valentine, holiday, party, gifts, school, college, university Farewells, baby shower, bridal party shower all festivals, nikkah, baraat",1999,https://static-01.daraz.pk/p/fa7bdf9df8a133b9eb28a7e3ca50d7e4.jpg,,,N/A,Furniture & decor,home-decoration
"5 Heart shape 3D string curtain, door wall window decoration for birthdays, weddings, engagement, Christmas, Valentine, holiday, party, gifts, school, college, university Farewells decor, baby shower, bridal party shower all festivals, nikkah, baraat",749,https://static-01.daraz.pk/p/7173bf4d77b7d673d061c78f86667a91.jpg,,,N/A,Furniture & decor,home-decoration
"Sarcasmsm Universal Car Seat Cushion Front Seat Cover Simple Comfortable And Breathable, Versatile for all seasons",4375,https://static-01.daraz.pk/p/01653eb3a78ef934bb69560e0e3af544.jpg,,,N/A,Furniture & decor,home-decoration
"Pillar candle(pair) size 2.5""x3""(Available in All Colors)",550,https://static-01.daraz.pk/p/cf9928ce33a612025045d6f3bb6cacd8.jpg,4.0,1,N/A,Furniture & decor,home-decoration
12inch by 108 inch black woodenpeel and sticker paper and decorate self Adhesive film for furniture room door all home decor waterproof paper,850,https://pk-live-21.slatic.net/kf/S0677fa68db144ffc8bfa1579474a71f6r.jpg,,,N/A,Furniture & decor,home-decoration
"Pillar candle large (1 piece) size 3""x8"" (available in All color)",750,https://static-01.daraz.pk/p/86988c9f860fc76d22d892050e34def2.jpg,,,N/A,Furniture & decor,home-decoration
Customized Baby Keepsake with Picture and all details (size 10 inches) - Resin Art Land,1799,https://pk-live-21.slatic.net/kf/Sf7515eec52954e5a90058ad8c44934faN.jpg,,,N/A,Furniture & decor,home-decoration
"1pc, With God All Things Are Possible Religious Vinyl Wall Decals, Vinyl Wall Stickers Wall Decal Motivation Lettering Saying Wall Art, Inspirational Quote Wall Art Stickers",250,https://static-01.daraz.pk/p/505a98b1df427b314939bc8c7d614dd0.jpg,,,N/A,Furniture & decor,home-decoration
Bts All Members Name Wall Hang Frame,499,https://static-01.daraz.pk/p/bcfa1944fafacfb16392dd4c1550ece1.jpg,5.0,1,N/A,Furniture & decor,home-decoration
Nordic Flower Geometric Pattern Print All Inclusive Elastic Sofa Cover Dustproof Sofa Cover,4225,https://static-01.daraz.pk/p/8b53926445000b7c09bcee3019c600f5.jpg,,,N/A,Furniture & decor,home-decoration
Motivational Quotation frames look great in all homes & offices. Wall frames give your room a personalized feel. Very few home decor items have the capability to enhance the room's appearance as wall frames do. Motivational frames can improve the ambiance,3200,https://pk-live-21.slatic.net/kf/S7d4e1de95c114cda9422cb216551cbbdB.jpg,,,N/A,Furniture & decor,home-decoration
Bless This Home and All who Enter Wall Art Sticker for Bedroom Living Room wall stickers,259,https://pk-live-21.slatic.net/kf/S40a7b9a5e2a245cfb7a59e8196c38ad9I.jpg,,,N/A,Furniture & decor,home-decoration
